"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"0104UWB5727",-78.356499,42.4077
"0104UWB5728",-78.297302,42.448399
"0104UWB5758",-78.800796,42.743599
"0104UWB5759",-78.939903,42.7094
"0104UWB5764",-78.975601,42.424999
"0104UWB5765",-78.974197,42.4207
"0104UWB5769",-78.894096,42.345299
"0104UWB5773",-78.776298,42.3624
"0104UWBXXX1",-78.7258,42.7547
"0105BRO0160K",-79.426102,42.368099
"0105BUR0162",-79.424797,42.3638
"0105EMU0144",-79.098801,42.4324
"0105FRE0160",-79.311096,42.391998
"0105LSI0156",-79.100899,42.502602
"0105MIN0165A",-79.575798,42.296299
"0105SIL0157",-79.093399,42.468498
"0105UWB0157B",-79.316498,42.4888
"0105UWB0159A",-79.303101,42.458301
"0105UWB0159C",-79.289902,42.451
"0105UWB0159D",-79.343697,42.469799
"0105UWB0159E",-79.369102,42.461399
"0105UWB0159F",-79.363998,42.4114
"0105UWB0160A",-79.316498,42.366699
"0105UWB0160B",-79.312599,42.364101
"0105UWB0160C",-79.348702,42.381302
"0105UWB0160D",-79.349098,42.379799
"0105UWB0160L",-79.419998,42.362801
"0105UWB0160M",-79.426697,42.346401
"0105UWB0162A",-79.443497,42.347401
"0105UWB0162B",-79.459198,42.350399
"0105UWB0162C",-79.5727,42.3461
"0105UWB0164A",-79.532204,42.287701
"0105UWB0164B",-79.505699,42.298599
"0105UWB0164C",-79.504997,42.2999
"0105UWB0166A",-79.573898,42.2766
"0105UWB0166C",-79.598503,42.197899
"0105UWB0166D",-79.578903,42.1926
"0105UWB0166M",-79.693001,42.2514
"0105UWB0167",-79.709099,42.257599
"0105UWB0171",-79.652199,42.263
