Lake_ID,NATURAL,FOREST,DEVELOPED
0104UWB5504,68.78198567,61.00307062,5.424769703
0104UWB5499,80.79470199,78.14569536,7.284768212
0104UWB5498,89.47368421,86.84210526,10.52631579
0104UWB5433,42.40231548,41.38929088,14.76121563
0104UWB5500,71.42857143,69.28571429,28.57142857
0104UWB5432,59.83263598,52.38493724,12.71966527
0104HIR5501,62.611901,51.55344918,5.845181675
0104PAR5418,32.19321932,27.54275428,5.385538554
0104UWB5495,85.91549296,76.05633803,14.08450704
0104UWB5494,61.71428571,56,12.57142857
0104UWB5428,11.11111111,11.11111111,0
0104UWB5423,79.41176471,71.56862745,0
0104UWB0118E,15.78947368,14.47368421,6.578947368
0104UWB5426,8.695652174,4.347826087,91.30434783
0104UWB5427,41.2745682,8.814770697,34.42525313
0104UWB5466,70.02260119,59.5644134,2.671049928
0104UWB0111W,68.69248466,58.53144172,3.048312883
0104UWB0140,100,86.71875,0
0104CLE0100,39.67383664,36.61605511,3.381133137
0104UWB0143,19.35483871,19.35483871,0
0104UWB0116A,22.44897959,21.42857143,0
0104UWB0116,36.08695652,34.7826087,24.34782609
0104MOO0146,64.43890964,60.61989761,3.97121904
0104SKI0141,46.30743982,43.32603939,4.266958425
0104UWB0114,25.17006803,25.17006803,44.89795918
0104CRY0147,90.42553191,87.11583924,3.427895981
0104UWB0115,41.44670712,33.46487473,13.47678791
0104UWB0099A,23.15270936,16.74876847,0
0104UWB5723,49.36668778,48.92336922,4.623179227
0104UWB5721,72.23719677,71.42857143,0
0104UWB0099,46.51162791,46.51162791,13.95348837
0104BEA0133,42.72683629,40.55848936,5.312850056
0104UWB5722,8.208955224,8.208955224,7.462686567
0104UWB5686,86.36363636,48.48484848,10.60606061
0104UWB5720,34.33696348,32.67136451,4.228058937
0104LUC5718,73.079145,69.72848065,5.66146736
0104LUC5717,71.64723032,68.07580175,2.842565598
0104UWB5711,22.77227723,16.50165017,12.21122112
0104MUD0134,64.30742797,61.14195083,4.837430611
0104FRO0128,39.47762436,37.83064382,5.523207453
0104LIM0130,34.72722238,32.56715591,19.55137081
0104UWB5716,19.74522293,19.74522293,8.917197452
0104UWB0131,37.68768769,37.15143715,4.697554698
0104SUC0132,41.22137405,40.83969466,3.307888041
0104UWB0101,4.334365325,2.476780186,86.06811146
0104UWB5727,81.37254902,80.88235294,9.803921569
0104UWB5648,49.09578031,48.62692565,0.535833891
0104UWB5662,84.01491065,81.43843877,3.870189672
0104UWB5663,43.33333333,40,0
0104UWB5657,85.88957055,83.43558282,6.441717791
0104UWB5656,87.28943338,85.60490046,6.278713629
0104HOL5678,86.87350835,86.87350835,5.011933174
0104UWB5696,45.58139535,43.25581395,2.790697674
0104UWB5641,100,79.6812749,0
0104UWB5650,86.12716763,82.08092486,1.734104046
0104UWB5665,95.65217391,95.65217391,0
0104CRA5666,80.45977011,78.16091954,19.54022989
0104UWB5626,31.38832998,30.38229376,3.822937626
0104UWB5624,32.94573643,27.51937984,9.689922481
0104UWB5627,94.95327103,91.21495327,0.560747664
0104UWB5628,90.68255688,87.2156013,2.275189599
0104UWB5629,85.46120953,82.46792914,2.810018326
0104TIM5635,71.66466346,68.99038462,5.618990385
0104RAI5630,71.57738095,62.94642857,24.25595238
0104UWB5616,99.55555556,99.55555556,0.444444444
0104UWB5615,56.9047619,56.19047619,7.619047619
