OBJECTID,REACHCODE,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID_12,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode_1,FType,FCode,Shape_Leng,LkAcres,Perimeter,Lake_ID,Location_I,Long,Lat,Region,County,Type,LocType,Shape_Le_1,Shape_Area,ReachNew
21,W01100005002969,0.335611423000000,4.588723456,3.063216988,0.787161338,0.317305345,0.024408103,45.039052970000000,0.439345863000000,2.629973151000000,0.170856724,1.482792287,21.61947767,9.201855016,9.805955577000001,0.494264096,14572,14573,1,14572,14573,7711238,9/6/1999 0:00:00,3, , ,0.006000000000000,0.000000000000000,01100005002969,390,39004,0.003342652482460,1.556815350480000,303.279500552999990,1601UWB6641,1601UWB6641_C,-73.554603599999993,41.846298200000000,3,Dutchess,Lake,Centroid,0.003342653437080,0.000000683301687,W01100005002969
22,W01100005002974,9.523809524000001,0,0,0,0,9.523809524,0.000000000000000,0.000000000000000,0.000000000000000,0,0,47.61904762,33.33333333,0.000000000000000,0,14766,14767,1,14766,14767,7711230,9/6/1999 0:00:00,3, , ,0.008000000000000,0.000000000000000,01100005002974,390,39004,0.003681878345260,1.998972552680000,356.060081524999990,1601UWB6636,1601UWB6636_C,-73.600997899999996,41.849201200000003,3,Dutchess,Lake,Centroid,0.003681878194960,0.000000877430084,W01100005002974
23,W01100005002975,8.379888268000000,0,0,0,0,7.82122905,0.000000000000000,0.000000000000000,0.000000000000000,0,0,53.63128492,27.37430168,0.000000000000000,2.793296089,14767,14768,0,14767,14768,7711232,9/6/1999 0:00:00,3, , ,0.004000000000000,0.000000000000000,01100005002975,390,39004,0.002501030330030,0.943775037680000,229.760874886000010, , ,0.000000000000000,0.000000000000000,0, , , ,0.002501029948710,0.000000414253697,W01100005002975
24,W01100005002981,2.341597796000000,20.52341598,4.132231405,6.473829201,1.377410468,2.341597796,51.928374660000003,0.000000000000000,1.101928375000000,0.688705234,3.03030303,6.060606061,0,0.000000000000000,0,14769,14770,1,14769,14770,7711266,9/6/1999 0:00:00,3, , ,0.016000000000000,0.000000000000000,01100005002981,390,39004,0.005065078139670,3.917949399950000,493.920264787000010,1601UWB1122,1601UWB1122_C,-73.571197499999997,41.829299900000002,3,Dutchess,Lake,Centroid,0.005065078218170,0.000001719191957,W01100005002981
25,W01100005002983,3.118040089000000,0.445434298,0.222717149,0,0,0,74.387527840000004,4.677060134000000,7.126948775000000,0,0.222717149,7.795100223,2.004454343,0.000000000000000,0,15311,15312,0,15311,15312,7711254,9/6/1999 0:00:00,3, , ,0.018000000000000,0.000000000000000,01100005002983,390,39004,0.005483389619730,4.515483087550000,528.560304135000020, , ,0.000000000000000,0.000000000000000,0, , , ,0.005483389861510,0.000001981571369,W01100005002983
26,W01100005002991,0.035486160000000,3.371185238,0.532292406,0,0,0,70.511000710000005,0.000000000000000,1.135557133000000,0,0.709723208,20.79488999,0.816181689,1.916252661000000,0.177430802,15321,15322,0,15321,15322,7711288,9/6/1999 0:00:00,3, , ,0.006000000000000,0.000000000000000,01100005002991,390,39004,0.003324238953700,1.576784564700000,302.146004157999980, , ,0.000000000000000,0.000000000000000,0, , , ,0.003324238680150,0.000000691765233,W01100005002991
27,W01100005003000,0.000000000000000,0,0,0,0,0,84.090909089999997,0.000000000000000,3.571428571000000,0,3.896103896,5.194805195,0,3.246753247000000,0,15328,15329,0,15328,15329,7711310,9/6/1999 0:00:00,3, , ,0.005000000000000,0.000000000000000,01100005003000,390,39004,0.002823958521130,1.173176864620000,268.693747192999980, , ,0.000000000000000,0.000000000000000,0, , , ,0.002823959669520,0.000000514551370,W01100005003000
28,W01100005003002,1.041666667000000,8.125,1.458333333,0,0,0,86.250000000000000,0.000000000000000,2.083333333000000,0,0,1.041666667,0,0.000000000000000,0,15330,15331,0,15330,15331,7711314,9/6/1999 0:00:00,3, , ,0.010000000000000,0.000000000000000,01100005003002,390,39004,0.004105444925820,2.442846446220000,391.086507015000000, , ,0.000000000000000,0.000000000000000,0, , , ,0.004105445234030,0.000001071427328,W01100005003002
29,W01100005003006,0.000000000000000,1.520158625,0.132187707,0.033046927,0,0,68.440185060000005,1.553205552000000,18.902842039999999,0,0,0.165234633,0,7.402511566000000,1.850627892,15101,15102,1,15101,15102,7711350,9/6/1999 0:00:00,3, , ,0.067000000000000,0.000000000000000,01100005003006,390,39004,0.017252508889100,16.519300000000001,1805.037617250000000,1601UWB1127B,1601UWB1127B_C,-73.518402100000003,41.776599900000001,3,Dutchess,Lake,Centroid,0.017252508909300,0.000007242621009,W01100005003006
30,W01100005003019,2.801370884000000,1.385784533,0.730144539,0.387423633,0.193711816,0,52.734316790000001,8.001788109000000,10.534942630000000,0.178810907,1.862613619,7.331247206,0.238414543,9.879302637000000,3.740128148,15072,15073,1,15072,15073,7711356,9/6/1999 0:00:00,3, , ,0.012000000000000,0.000000000000000,01100005003019,390,39004,0.005491190758770,2.949405835650000,516.095060818999970,1601UWB6635,1601UWB6635_C,-73.546600299999994,41.773799900000000,3,Dutchess,Lake,Centroid,0.005491191928250,0.000001293074900,W01100005003019
31,W01100005003020,0.818965517000000,1.853448276,0.193965517,0.021551724,0,0,61.745689659999996,1.767241379000000,22.478448279999999,0,0.99137931,0.280172414,0,7.090517241000000,2.75862069,15076,15077,1,15076,15077,7711364,9/6/1999 0:00:00,3, , ,0.067000000000000,0.000000000000000,01100005003020,390,39004,0.011934059574500,16.558199999999999,1194.543839170000000,1601UWB6633,1601UWB6633_C,-73.519203200000007,41.766700700000001,3,Dutchess,Lake,Centroid,0.011934060239300,0.000007258540426,W01100005003020
32,W01100005003030,3.076923077000000,0,0,0,0,0,35.384615380000000,1.538461538000000,10.769230770000000,0,12.30769231,24.61538462,0,12.307692310000000,0,15077,15078,1,15077,15078,7711368,9/6/1999 0:00:00,3, , ,0.010000000000000,0.000000000000000,01100005003030,390,39004,0.003790445308870,2.369060629910000,364.906068249999980,1601UWB1119,1601UWB1119_C,-73.581703200000007,41.768001599999998,3,Dutchess,Lake,Centroid,0.003790445792140,0.000001038564046,W01100005003030
33,W01100005003031,2.978453739000000,1.15652725,0.633713561,0.411913815,0.205956907,0,52.772496830000001,8.032319392000000,10.915716099999999,0.142585551,1.98035488,7.461977186,0.110899873,9.252217997000001,3.94486692,15075,15076,1,15075,15076,7711362,9/6/1999 0:00:00,3,966935,Swift Pond,0.259000000000000,0.000000000000000,01100005003031,390,39004,0.031342037411300,63.969299999999997,3207.418494139999900,1601SWI1127,1601SWI1127_C,-73.551101700000004,41.765499100000000,3,Dutchess,Lake,Centroid,0.031342036605700,0.000028041999302,W01100005003031
34,W01100005003035,5.669178328000000,0,0,0,0,0,71.331180480000000,3.372802296000000,10.728381770000000,0,1.363473269,0,0,4.628632939000000,2.906350915,15154,15155,1,15154,15155,7711396,9/6/1999 0:00:00,3,947702,Crane Pond,0.218000000000000,0.000000000000000,01100005003035,390,39004,0.049246801448800,53.869199999999999,5213.228837069999800,1601CRA1127A,1601CRA1127A_C,-73.535003700000004,41.743198399999997,3,Dutchess,Lake,Centroid,0.049246801353400,0.000023606000969,W01100005003035
35,W01100005003045,0.138248848000000,2.534562212,0.391705069,0.046082949,0,0,81.866359450000004,0.046082949000000,1.543778802000000,0,2.67281106,8.755760369,0,2.004608295000000,0,15148,15149,0,15148,15149,7711382,9/6/1999 0:00:00,3, , ,0.003000000000000,0.000000000000000,01100005003045,390,39004,0.002353159614260,0.818662978940000,223.589203467000000, , ,0.000000000000000,0.000000000000000,0, , , ,0.002353160957770,0.000000358855230,W01100005003045
36,W01100005003046,0.540973753000000,3.285914646,0.480865558,0.060108195,0,0,80.284512120000002,0.040072130000000,1.422560609000000,0,2.544580244,9.216589862,0,2.123822881000000,0,15149,15150,1,15149,15150,7711384,9/6/1999 0:00:00,3, , ,0.018000000000000,0.000000000000000,01100005003046,390,39004,0.006240176188970,4.362429190340000,594.908151569999970,1601UWB6634,1601UWB6634_C,-73.611503600000006,41.759498600000001,3,Dutchess,Lake,Centroid,0.006240176510370,0.000001912215567,W01100005003046
